req,t,ctx_tok,cache_tok,prefill_new_tok,decode_tok,resp_prefill_think_s,text_tail_s,llm_total_s,n_tools
1,03:56:32,12779,0,12779,287,0,0,0,4
2,03:56:38,20429,12736,7693,203,6,0,6,4
3,03:57:00,43045,20416,22629,313,22,0,22,1
4,03:57:08,43783,43008,775,226,8,0,8,1
5,03:57:21,44025,43776,249,320,13,0,13,3
6,03:57:43,45206,43776,1430,461,19,0,19,2
7,03:58:04,45721,43776,1945,697,21,0,21,5
8,03:59:00,47335,45184,2151,2904,51,0,51,2
9,03:59:22,50613,47296,3317,522,21,0,21,4
10,03:59:55,51554,50560,994,1149,33,0,33,5
11,04:00:54,53227,51520,1707,3278,59,0,59,1
12,04:01:33,57152,43776,13376,124,5,0,5,1
13,04:01:50,57459,47296,10163,308,16,0,16,1
14,04:02:31,58532,47360,11172,317,19,0,19,1
15,04:02:45,59034,58496,538,265,13,0,13,3
16,04:03:40,59692,59008,684,3048,54,0,54,1
17,04:04:02,63258,47360,15898,225,15,0,15,1
18,04:04:47,64147,57152,6995,168,15,0,15,1
19,04:05:36,65000,58560,6440,211,16,0,16,1
20,04:06:27,65826,63296,2530,1639,29,0,29,1
21,04:06:42,67506,65792,1714,219,15,0,15,1
